ID,Formula,Sc,Ti,V,Cr,Zr,Nb,Mo,Hf,Ta,C,N,F,H,O,Li,Na,K,Mg,M,X,T,Z,Voltage,Capacity,Charge,In-plane_lattice,Intercalated_lattice
326,Zr2NO2,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,1,Zr,N,O2,Mg,-0.21,387,1.684,3.269,3.182
327,Nb2CO2,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,1,Nb,C,O2,Mg,0.15,385,1.671,3.133,3.128
328,Nb2NO2,0,0,0,0,0,2,0,0,0,0,1,0,0,2,0,0,0,1,Nb,N,O2,Mg,-0.12,382,1.636,3.136,2.96
329,Nb2COH,0,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,0,1,Nb,C,OH,Mg,-0.3,382,1.677,3.204,3.166
330,Zr2CF2,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,1,Zr,C,F,Mg,-0.66,381,1.681,3.321,3.26
331,Nb2NOH,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,0,1,Nb,N,OH,Mg,-0.03,380,1.687,2.958,3.145
332,Zr2NF2,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,1,Zr,N,F,Mg,-0.68,379,1.678,3.308,3.241
333,Mo2COH,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,1,Mo,C,OH,Mg,-0.41,378,1.843,3.29,3.31
334,Nb2CF2,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,1,Nb,C,F,Mg,-0.8,377,1.675,3.214,3.167
335,Mo2CO2,0,0,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,1,Mo,C,O2,Mg,1.15,377,1.508,2.993,3.213
336,Mo2NOH,0,0,0,0,0,0,2,0,0,0,1,0,1,1,0,0,0,1,Mo,N,OH,Mg,-0.77,375,1.798,2.833,2.907
337,Nb2NF2,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,1,Nb,N,F,Mg,-0.21,374,1.673,2.911,3.157
338,Mo2NO2,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,1,Mo,N,O2,Mg,0.49,374,1.602,2.866,2.865
339,Mo2CF2,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,0,1,Mo,C,F,Mg,0.32,369,1.651,3.275,3.061
340,Mo2NF2,0,0,0,0,0,0,2,0,0,0,1,2,0,0,0,0,0,1,Mo,N,F,Mg,2.15,367,1.645,2.785,3.096
341,Hf2C,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,Hf,C,NONE,Mg,0.5,257,1.66,3.21,3.253
342,Hf2N,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,Hf,N,NONE,Mg,0.62,256,1.649,3.175,3.213
343,Hf2CH2,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,0,1,Hf,C,H2,Mg,-0.12,255,1.665,3.252,3.265
344,Ta2C,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,Ta,C,NONE,Mg,0.73,254,1.635,3.081,3.119
345,Hf2NH2,0,0,0,0,0,0,0,2,0,0,1,0,2,0,0,0,0,1,Hf,N,H2,Mg,-0.01,254,1.659,3.179,3.196
346,Ta2N,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,Ta,N,NONE,Mg,0.77,253,1.633,3.098,3.103
347,Ta2CH2,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,1,Ta,C,H2,Mg,0.12,253,1.651,3.089,3.12
348,Ta2NH2,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,1,Ta,N,H2,Mg,0.09,251,1.638,2.926,3.029
349,Hf2COH,0,0,0,0,0,0,0,2,0,1,0,0,1,1,0,0,0,1,Hf,C,OH,Mg,-0.36,239,1.845,3.276,3.303
350,Hf2NOH,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,1,Hf,N,OH,Mg,-0.34,238,1.846,3.257,3.296
351,Hf2CO2,0,0,0,0,0,0,0,2,0,1,0,0,0,2,0,0,0,1,Hf,C,O2,Mg,-0.38,238,1.688,3.27,3.181
352,Hf2NO2,0,0,0,0,0,0,0,2,0,0,1,0,0,2,0,0,0,1,Hf,N,O2,Mg,-0.48,237,1.683,3.215,3.159
353,Ta2COH,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,1,Ta,C,OH,Mg,-0.39,236,1.84,3.193,3.238
354,Ta2CO2,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,1,Ta,C,O2,Mg,-0.16,236,1.678,3.13,3.116
355,Ta2NOH,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,0,1,Ta,N,OH,Mg,-0.28,235,1.846,2.92,3.325
356,Ta2NO2,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,0,1,Ta,N,O2,Mg,-0.44,235,1.638,3.135,2.936
357,Hf2CF2,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,0,1,Hf,C,F,Mg,-0.65,235,1.678,3.261,3.236
358,Hf2NF2,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,1,Hf,N,F,Mg,-0.65,234,1.673,3.251,3.197
359,Ta2CF2,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,1,Ta,C,F,Mg,-0.46,233,1.663,3.209,3.147
360,Ta2NF2,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,0,1,Ta,N,F,Mg,0.05,232,1.659,2.861,3.105
